title,release_year,genres,score,budget,revenue
X-Rated 2: The Greatest Adult Stars of All-Time,2016,Documentary,67.0,41500000.0,298690257.2
X-Men: The Mutant Watch,2001,Documentary,71.0,90100000.0,414551647.4
X-Men: Days of Future Past,2014,"Action, Adventure, Science Fiction",75.0,200000000.0,747862775.0
X-Men: Apocalypse,2016,"Action, Adventure, Science Fiction, Fantasy",65.0,178000000.0,542537546.0
X+Y,2015,Drama,67.0,75500000.0,509726081.0
X,2022,"Horror, Mystery, Thriller",68.0,1000000.0,15113105.0
X,2011,"Action, Thriller, Romance",65.0,1000000.0,15113105.0
Wyrmwood: Road of the Dead,2015,"Horror, Action, Comedy",61.0,117200000.0,755498891.0
Wyatt Earp,1994,"Western, Drama, Action, Adventure",68.0,63000000.0,25052000.0
Wuthering Heights,1992,"Drama, Romance",67.0,8000000.0,2721534.0
Wuthering Heights,2012,"Drama, Romance",59.0,8000000.0,2721534.0
Wrongfully Accused,1998,"Action, Adventure, Comedy",59.0,7221932.4,9623329.0
Wrong Turn 6: Last Resort,2014,Horror,54.0,1200000.0,3174356.0
Wrong Turn 5: Bloodlines,2012,"Horror, Thriller",54.0,3000000.0,3380105.2
Wrong Turn 4: Bloody Beginnings,2011,"Horror, Thriller",57.0,3000000.0,66263722.8
Wrong Turn 3: Left for Dead,2009,"Horror, Thriller",56.0,3000000.0,37753869.2
Wrong Turn 2: Dead End,2007,"Horror, Thriller",60.0,4000000.0,30361598.0
Wrong Turn,2021,"Horror, Thriller",60.0,10000000.0,28649556.0
Wrong Turn,2003,"Horror, Thriller",63.0,10000000.0,28649556.0
Wrong Place,2022,Thriller,44.0,124800000.0,834642911.6
Wreck-It Ralph,2012,"Family, Animation, Comedy, Adventure",73.0,165000000.0,496511521.0
Wrath of the Titans,2012,"Fantasy, Adventure",57.0,150000000.0,305270083.0
Wrath of Man,2021,"Action, Crime, Thriller",77.0,40000000.0,103913405.0
Wounds,2019,"Horror, Mystery, Thriller",40.0,101800000.0,858637629.0
Would You Rather,2012,"Thriller, Horror",60.0,100600000.0,610599012.0
World's Greatest Dad,2009,"Comedy, Romance, Drama",66.0,10000000.0,295750.0
World War Z,2013,"Action, Drama, Horror, Science Fiction, Thriller",68.0,190000000.0,531861650.0
World Trade Center,2006,"Drama, History, Thriller",61.0,65000000.0,163295654.0
Working Girl,1989,"Comedy, Romance, Drama",66.0,28000000.0,103173635.0
Work It,2020,"Comedy, Music",76.0,127300000.0,737876730.6
Words on Bathroom Walls,2020,"Drama, Romance",79.0,9300000.0,3117681.0
Woody Woodpecker,2017,"Comedy, Family, Animation",67.0,10000000.0,232887659.4
Woodlawn,2015,Drama,70.0,13000000.0,14403891.0
Wonder Woman: Bloodlines,2019,"Science Fiction, Animation, Action, Fantasy",70.0,97580000.0,653742013.4
Wonder Woman 1984,2020,"Action, Adventure, Fantasy",65.0,200000000.0,166360232.0
Wonder Woman,2017,"Action, Adventure, Fantasy",72.0,150000000.0,817691766.0
Wonder Woman,2009,"Action, Adventure, Animation, Fantasy, Science Fiction",72.0,150000000.0,817691766.0
Wonder Wheel,2017,"Drama, Romance",64.0,25000000.0,15366466.0
Wonder Park,2019,"Comedy, Animation, Adventure, Family, Fantasy",65.0,100000000.0,115103325.0
Wonder,2017,"Drama, Family",82.0,20000000.0,310824596.0
Women's Prison Massacre,1985,"Action, Crime",44.0,114500000.0,198266608.4
Women Talking,2023,Drama,70.0,30408000.0,7589419.0
Women,2021,Thriller,49.0,70200000.0,716958659.0
Woman in Gold,2015,Drama,73.0,11000000.0,58586407.0
Wolves,2014,"Horror, Action",59.0,18000000.0,94953.0
Wolfwalkers,2020,"Animation, Family, Adventure, Fantasy",83.0,11250000.0,3241142.0
Wolf Hound,2022,"War, Action",66.0,142000000.0,491960363.2
Wolf Creek 2,2014,"Horror, Thriller",64.0,8000000.0,9630444.0
Wolf Creek,2005,"Horror, Thriller",62.0,1100000.0,29005064.0
Wizards of Waverly Place: The Movie,2009,"Family, TV Movie, Adventure, Comedy, Drama, Fantasy, Action",66.0,148000000.0,623873271.0
Witness for the Prosecution,1957,"Drama, Mystery, Crime",82.0,3000000.0,9000000.0
Witness,1985,"Crime, Drama, Romance, Thriller",71.0,12000000.0,65532576.0
Witch Hunt,2021,Horror,68.0,51340950.0,56415.0
Wishmaster 4: The Prophecy Fulfilled,2002,"Horror, Fantasy",46.0,500000.0,1361417.8
Wishmaster 3: Beyond the Gates of Hell,2001,"Thriller, Horror, Fantasy",45.0,1500000.0,2264858.8
Wishmaster 2: Evil Never Dies,1999,"Fantasy, Horror",54.0,2500000.0,10531010.8
Wish Upon a Unicorn,2020,"Adventure, Family, Fantasy",70.0,85200000.0,471856743.2
Wish Upon,2017,"Horror, Thriller, Fantasy",56.0,12000000.0,23477345.0
Wish Dragon,2021,"Animation, Family, Comedy, Fantasy",80.0,21363393.0,25860000.0
Wire Room,2022,"Action, Crime, Thriller",66.0,101000000.0,321357348.6
Winter's Tale,2014,"Drama, Fantasy, Mystery, Romance",63.0,60000000.0,30800231.0
Winnie the Pooh: Springtime with Roo,2004,"Adventure, Animation, Comedy, Drama, Family",67.0,108000000.0,254948951.2
Winnie the Pooh: Blood and Honey,2023,"Horror, Thriller",58.0,100000.0,3200000.0
Winnie the Pooh: A Very Merry Pooh Year,2002,"Animation, Family",68.0,98140000.0,494358731.6
Winnie the Pooh: A Valentine for You,1999,"Animation, Family",65.0,147000000.0,790320116.8
Winnie the Pooh,2011,"Animation, Family, Adventure",69.0,30000000.0,50145607.0
Windtalkers,2002,"War, Drama, Action, History",62.0,115000000.0,77628265.0
Windfall,2022,"Thriller, Crime, Drama",54.0,148000000.0,497940019.8
Wind River,2017,"Crime, Drama, Mystery, Thriller",74.0,11000000.0,44984979.0
Winchester,2018,"Horror, Thriller",59.0,3500000.0,45960255.0
Willy's Wonderland,2021,"Action, Horror, Comedy",61.0,5000000.0,431020.0
Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Comedy",75.0,3000000.0,4065791.0
Willow,1988,"Action, Adventure, Fantasy",70.0,35000000.0,57269863.0
Wildflower,2016,"Thriller, Drama",52.0,81400000.0,393750045.8
Wild at Heart,1990,"Crime, Thriller, Romance",70.0,9500000.0,14560247.0
Wild Wild West,2000,"Action, Adventure, Comedy, Science Fiction, Western",53.0,175000000.0,221229335.0
Wild Things: Diamonds in the Rough,2005,"Crime, Drama, Mystery",49.0,165400000.0,616863030.4
Wild Things 2,2004,"Crime, Drama, Mystery",52.0,2800000.0,5882400.8
Wild Things,1998,"Mystery, Thriller, Drama",63.0,20000000.0,55576210.0
Wild Target,2010,"Action, Comedy",64.0,8000000.0,5314194.0
Wild Orchid,1990,"Romance, Drama",53.0,7000000.0,11060485.0
Wild Is the Wind,2022,"Crime, Drama",56.0,77200000.0,250609542.6
Wild Indian,2021,"Crime, Drama, Thriller",57.0,20000000.0,96815497.4
Wild Hogs,2007,"Action, Adventure, Comedy",59.0,60000000.0,253555383.0
Wild Child,2008,"Comedy, Drama, Romance",67.0,20000000.0,21972336.0
Wild Card,2015,"Thriller, Crime, Action",56.0,30000000.0,4315789.0
Wild,2015,Drama,70.0,15000000.0,52460543.0
Wifelike,2022,"Science Fiction, Mystery, Thriller",72.0,113400000.0,652368753.6
Widows,2019,"Crime, Thriller",65.0,40000000.0,75984700.0
Wicker Park,2004,"Drama, Mystery, Romance, Thriller",69.0,30000000.0,21577076.0
Wicked Minds,2003,"Mystery, Drama, Romance, Thriller",63.0,174000000.0,333960611.0
Wicked Little Things,2006,"Fantasy, Horror",58.0,71600000.0,657398006.0
Why Women Cheat,2021,Romance,28.0,15541000.0,38139010.0
Why Him?,2016,Comedy,64.0,38000000.0,117425156.0
Wholly Moses,1980,Comedy,50.0,7301100.0,14155617.0
Who Framed Roger Rabbit,1988,"Fantasy, Animation, Comedy, Crime",75.0,70000000.0,329803958.0
Whitney Houston: I Wanna Dance with Somebody,2022,"Music, History, Drama",70.0,50000000.0,41000000.0
Whiteout,2009,"Action, Crime, Mystery, Thriller",55.0,35000000.0,12254746.0
White Palace,1990,"Drama, Romance",62.0,14586840.6,17487531.0
White Noise,2022,"Comedy, Drama, Science Fiction",56.0,10000000.0,92094360.0
White Noise,2005,"Drama, Horror, Thriller",56.0,10000000.0,92094360.0
White House Down,2013,"Action, Drama, Thriller",64.0,150000000.0,205440387.0
White Girl,2016,Drama,57.0,700000.0,200242.0
White Fang,1991,"Action, Adventure, Drama, Family",67.0,14000000.0,34729091.0
