title,release_year,genres,score,budget,revenue
8MM,1999,"['Thriller', 'Crime', 'Mystery']",61.0,40000000,96618699
9,2009,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']",66.0,30000000,48428063
9 Songs,2004,"['Drama', 'Music', 'Romance']",51.0,1000000,1574623
90 Minutes in Heaven,2015,['Drama'],54.0,5000000,4842699
99 Homes,2014,['Drama'],68.0,8000000,1411927
9th Company,2005,"['Drama', 'History', 'War', 'Action']",68.0,9500000,24000000
A Beautiful Mind,2001,"['Drama', 'Romance']",77.0,60000000,313542341
A Better Life,2011,['Drama'],70.0,10000000,1759252
A Bridge Too Far,1977,"['Drama', 'History', 'War']",70.0,22000000,50750000
A Bronx Tale,1993,"['Drama', 'Crime']",74.0,22000000,17287898
A Bug's Life,1998,"['Adventure', 'Animation', 'Comedy', 'Family']",68.0,120000000,363258859
A Christmas Carol,2009,"['Animation', 'Drama']",66.0,200000000,325233863
A Cinderella Story,2004,['Comedy'],61.0,19000000,70067909
A Civil Action,1998,['Drama'],61.0,70000000,56702901
A Clockwork Orange,1971,"['Science Fiction', 'Drama']",80.0,2200000,26589000
A Coffee in Berlin,2012,"['Comedy', 'Drama']",70.0,300000,2750275
A Company Man,2012,"['Drama', 'Action']",66.0,3500000,7339398
A Conspiracy of Faith,2016,"['Crime', 'Drama', 'Mystery', 'Thriller']",68.0,5210000,5900000
A Countess from Hong Kong,1967,"['Comedy', 'Romance']",59.0,3500000,2000000
A Cry in the Dark,1988,['Drama'],64.0,15000000,6908797
A Cure for Wellness,2017,"['Mystery', 'Thriller', 'Horror', 'Science Fiction']",60.0,40000000,26559557
A Dangerous Method,2011,"['Drama', 'Thriller']",62.0,15000000,27462041
A Dirty Shame,2004,['Comedy'],54.0,15000000,1914166
A Dog's Purpose,2017,"['Comedy', 'Drama', 'Family', 'Fantasy']",66.0,22000000,194647323
A Driver for Vera,2004,['Drama'],62.0,3300000,2011837
A Farewell to Arms,1932,"['Drama', 'Romance', 'War']",64.0,4,25
A Few Best Men,2011,['Comedy'],59.0,12468389,29007412
A Few Good Men,1992,['Drama'],71.0,40000000,243240178
A Fish Called Wanda,1988,"['Comedy', 'Crime']",71.0,7500000,62493712
A Fistful of Dollars,1964,['Western'],76.0,200000,14500000
A Ghost Story,2017,"['Drama', 'Fantasy', 'Romance']",68.0,100000,15584255
A Girl Walks Home Alone at Night,2014,"['Horror', 'Romance']",69.0,1000000,1000000
A Good Day to Die Hard,2013,"['Action', 'Thriller']",52.0,92000000,304654182
A Good Year,2006,"['Comedy', 'Drama', 'Romance']",65.0,35000000,42064105
A Guy Named Joe,1944,"['Drama', 'Romance', 'War']",69.0,2627000,5363000
A Guy Thing,2003,"['Comedy', 'Romance']",53.0,20000000,17432163
A Hard Day's Night,1964,"['Comedy', 'Music']",73.0,560000,12299668
A Haunted House,2013,"['Comedy', 'Horror']",54.0,2500000,60141683
A History of Violence,2005,"['Drama', 'Thriller', 'Crime']",69.0,32000000,60740827
A Hologram for the King,2016,"['Comedy', 'Drama']",58.0,30000000,4212494
A Home at the End of the World,2004,"['Romance', 'Drama']",68.0,6500000,1548955
A Home of Our Own,1993,"['Comedy', 'Drama']",70.0,12000000,1703282
A Knight's Tale,2001,"['Adventure', 'Drama', 'Romance', 'Action']",66.0,65000000,117487473
A League of Their Own,1992,['Comedy'],68.0,40000000,107458785
A Lonely Place to Die,2011,"['Adventure', 'Action', 'Thriller', 'Crime']",62.0,4000000,25345000
A Lot Like Love,2005,['Comedy'],65.0,30000000,42886719
A Low Down Dirty Shame,1994,"['Action', 'Comedy', 'Crime']",60.0,10000000,29392418
A Man Apart,2003,"['Action', 'Drama']",58.0,36000000,44350926
