title,release_year,genres,score,budget,revenue,duplicated_status
Driven,2019,"Thriller, History",63.0,72000000.0,54616869.0,True
Dreamcatcher,2021,"Horror, Mystery, Thriller",60.0,68000000.0,75685268.0,True
Dreamcatcher,2003,"Drama, Horror, Science Fiction, Thriller",56.0,68000000.0,75685268.0,True
Doctor Strange,2016,"Action, Adventure, Fantasy",74.0,165000000.0,676343174.0,True
Doctor Strange,2007,"Action, Animation, Fantasy, Science Fiction",68.0,165000000.0,676343174.0,True
Doctor Dolittle,1998,"Comedy, Family, Fantasy",57.0,71500000.0,294156605.0,True
Doctor Dolittle,1967,"Comedy, Family, Fantasy",62.0,71500000.0,294156605.0,True
Dirty Dancing,1988,"Drama, Music, Romance",74.0,6000000.0,214577242.0,True
Dirty Dancing,2017,"Drama, Romance",55.0,6000000.0,9816585.2,True
Diary of a Wimpy Kid: Rodrick Rules,2022,"Animation, Comedy, Family",71.0,18000000.0,73695194.0,True
Diary of a Wimpy Kid: Rodrick Rules,2011,"Family, Comedy",66.0,18000000.0,73695194.0,True
Diary of a Wimpy Kid,2021,"Animation, Comedy, Family",63.0,15000000.0,76954311.0,True
Diary of a Wimpy Kid,2010,"Comedy, Family",62.0,15000000.0,76954311.0,True
Death on the Nile,2022,"Mystery, Drama, Crime, Thriller, Action, Adventure",65.0,90000000.0,130298184.0,True
Death on the Nile,1978,Mystery,71.0,90000000.0,130298184.0,True
Death at a Funeral,2007,"Comedy, Drama",69.0,21000000.0,48977233.0,True
Death at a Funeral,2010,Comedy,58.0,21000000.0,48977233.0,True
Death Wish,2018,"Action, Crime, Drama, Thriller",61.0,30000000.0,48575965.0,True
Death Wish,1975,"Crime, Drama, Action",69.0,30000000.0,48575965.0,True
Dawn of the Dead,2004,"Horror, Action",70.0,28000000.0,103452875.0,True
Dawn of the Dead,1985,Horror,75.0,28000000.0,103452875.0,True
Creed,2015,Drama,74.0,37000000.0,173567581.0,True
Creed,2010,Horror,80.0,37000000.0,173567581.0,True
Crash,1997,Drama,65.0,7303082.0,101173038.0,True
Crash,2005,Drama,72.0,7303082.0,101173038.0,True
Conan the Barbarian,2011,"Adventure, Fantasy, Action",53.0,20000000.0,79114085.0,True
Conan the Barbarian,1982,"Adventure, Fantasy, Action",68.0,20000000.0,79114085.0,True
Collide,2022,"Thriller, Drama, Crime",54.0,29200000.0,5466698.0,True
Collide,2017,"Thriller, Action",55.0,29200000.0,5466698.0,True
Clash of the Titans,2010,"Adventure, Fantasy, Action",59.0,125000000.0,493214888.0,True
Clash of the Titans,1981,"Action, Adventure, Fantasy, Romance",69.0,125000000.0,493214888.0,True
Cinderella,1950,"Family, Fantasy, Animation, Romance",70.0,95000000.0,542351353.0,True
