title,release_year,genres,score,budget,revenue
Quo Vadis,1951,"['Drama', 'History', 'Romance']",70,8250000,30000000
Show Boat,1951,"['Music', 'Romance']",69,2300000,11000000
Strangers on a Train,1951,"['Crime', 'Drama', 'Thriller']",76,1200000,7000000
The African Queen,1951,"['Adventure', 'War', 'Romance']",74,1300000,10750000
High Noon,1952,['Western'],76,730000,8000000
Scaramouche,1952,"['Action', 'Adventure', 'Drama']",69,3005000,6746000
Singin' in the Rain,1952,"['Comedy', 'Music', 'Romance']",79,2540800,7200000
The Greatest Show on Earth,1952,"['Action', 'Drama', 'Romance']",66,4000000,36000000
From Here to Eternity,1953,"['War', 'Drama', 'Romance']",72,1650000,30500000
House of Wax,1953,"['Crime', 'Horror', 'Mystery']",70,658000,23800000
Niagara,1953,"['Crime', 'Drama', 'Thriller']",67,1250000,8500000
Peter Pan,1953,"['Animation', 'Music', 'Family', 'Adventure', 'Fantasy']",70,4000000,87404651
Robot Monster,1953,['Science Fiction'],35,16000,1000000
Roman Holiday,1953,"['Comedy', 'Romance']",78,1500000,12000000
Shane,1953,"['Drama', 'Western']",73,3100000,20000000
"The Beast from 20,000 Fathoms",1953,"['Adventure', 'Horror', 'Science Fiction']",67,210000,5000000
The Robe,1953,['Drama'],64,4100000,36000000
The War of the Worlds,1953,"['Horror', 'Science Fiction', 'Thriller']",68,2000000,2000000
Titanic,1953,"['Drama', 'Action', 'Romance']",62,1805000,4905000
"20,000 Leagues Under the Sea",1954,"['Adventure', 'Drama', 'Science Fiction']",69,5000000,28200000
Dial M for Murder,1954,"['Crime', 'Mystery', 'Thriller']",79,1400000,3000000
On the Waterfront,1954,"['Crime', 'Drama']",80,910000,9600000
Rear Window,1954,"['Drama', 'Mystery', 'Thriller']",82,1000000,36764313
Sabrina,1954,"['Comedy', 'Drama', 'Romance']",74,2238813,10000000
Seven Samurai,1954,"['Action', 'Drama']",82,2000000,271841
The Caine Mutiny,1954,"['Drama', 'War']",72,2000000,21750000
The Egyptian,1954,"['History', 'Drama']",60,5000000,15000000
Bad Day at Black Rock,1955,"['Crime', 'Drama', 'Western']",70,1271000,3788000
Marty,1955,"['Drama', 'Romance']",72,343000,3000000
The Trouble with Harry,1955,"['Comedy', 'Mystery', 'Thriller']",69,1200000,7000000
To Catch a Thief,1955,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",71,2500000,8750000
Around the World in Eighty Days,1956,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",65,6000000,42000000
