item,title,genreLabel,boxofficeww,boxofficeusa,publicationdate,reviewscore,budget
http://www.wikidata.org/entity/Q428551,The Family Man,drama film,,,,53%,60000000 USD
http://www.wikidata.org/entity/Q65082453,First Cow,fantasy film,,,2020-03-06T00:00:00Z,8.4/10,2000000 USD
http://www.wikidata.org/entity/Q46997940,The Girl in the Spider's Web,film based on a novel,,,2018-11-09T00:00:00Z,39%,43000000 USD
http://www.wikidata.org/entity/Q1088058,Enemy Mine,film based on literature,,12303411,1985-12-20T00:00:00Z,5.7/10,40000000 USD
http://www.wikidata.org/entity/Q22432,Signs,horror film,,,,6.8/10,72000000 USD
http://www.wikidata.org/entity/Q1004410,喋血街頭,crime film,8545123,,1991-07-26T00:00:00Z,8.4/10,3500000 USD
http://www.wikidata.org/entity/Q783317,Hard to Kill,vigilante film,,,,36%,10000000 USD
http://www.wikidata.org/entity/Q219776,X2,speculative/fantastic fiction film,407700000,,2003-05-02T00:00:00Z,7.5/10,
http://www.wikidata.org/entity/Q1714159,From Justin to Kelly,musical film,,4928883,2003-06-20T00:00:00Z,9%,12000000 USD
http://www.wikidata.org/entity/Q1217787,The Time Machine,dystopian film,2610000,1610000,1960-08-17T00:00:00Z,76%,829000 USD
http://www.wikidata.org/entity/Q193695,The Wizard of Oz,musical film,,,,98%,2777000 USD
http://www.wikidata.org/entity/Q210364,Shutter Island,film based on a novel,294800000,128012934,2010-02-19T00:00:00Z,68%,80000000 USD
http://www.wikidata.org/entity/Q47703,The Godfather,film based on a novel,250341816,136381073,1972-03-15T00:00:00Z,97%,6000000 USD
http://www.wikidata.org/entity/Q3337646,Nebraska,drama film,27682872,17654912,2014-01-24T00:00:00Z,8/10,12000000 USD
http://www.wikidata.org/entity/Q27689100,Murder on the Orient Express,film based on a novel,352789811,,2017-11-10T00:00:00Z,60%,55000000 USD
http://www.wikidata.org/entity/Q1632425,Can't Hardly Wait,romantic comedy,,25605015,1998-06-12T00:00:00Z,41%,10000000 USD
http://www.wikidata.org/entity/Q223139,North by Northwest,spy film,9840000,5740000,1959-07-01T00:00:00Z,9.3/10,4300000 USD
http://www.wikidata.org/entity/Q1197185,The Right Stuff,adventure film,,,1984-02-17T00:00:00Z,96%,27000000 USD
http://www.wikidata.org/entity/Q644987,Chinatown,film noir,29225935,29200000,1974-06-20T00:00:00Z,9.4/10,6000000 USD
http://www.wikidata.org/entity/Q65768604,Thor: Love and Thunder,superhero film,760928081,343256830,2022-02-11T00:00:00Z,63%,250000000 USD
http://www.wikidata.org/entity/Q3821776,The Town That Dreaded Sundown,crime film,5000000,,1976-12-24T00:00:00Z,4.8/10,400000 USD
http://www.wikidata.org/entity/Q65768604,Thor: Love and Thunder,science fiction film,760928081,343256830,2021-11-05T00:00:00Z,6.4/10,250000000 USD
http://www.wikidata.org/entity/Q488655,Groundhog Day,comedy film,105000000,71107962,1993-02-12T00:00:00Z,7.9/10,14600000 USD
http://www.wikidata.org/entity/Q153484,Resident Evil,girls with guns,,,,4.6/10,33000000 USD
http://www.wikidata.org/entity/Q488655,Groundhog Day,comedy film,105000000,71107962,1993-02-12T00:00:00Z,94%,14600000 USD
http://www.wikidata.org/entity/Q550591,Spy Kids: All the Time in the World,spy film,,,,23%,27000000 USD
http://www.wikidata.org/entity/Q2252714,Knock on Any Door,trial film,,,1949-03-17T00:00:00Z,67%,
http://www.wikidata.org/entity/Q196685,Escape Plan,prison film,,,,50%,50000000 USD
http://www.wikidata.org/entity/Q212041,Sweeney Todd: The Demon Barber of Fleet Street,crime film,,,,7.7/10,50000000 USD
http://www.wikidata.org/entity/Q208263,The Green Mile,flashback film,286801374,,,6.8/10,60000000 USD
http://www.wikidata.org/entity/Q502384,Gone in 60 Seconds,thriller film,237200000,,,25%,90000000 USD
http://www.wikidata.org/entity/Q502384,Gone in 60 Seconds,thriller film,237200000,,,4.4/10,90000000 USD
http://www.wikidata.org/entity/Q17337292,Sicario,action film,,,2015-09-18T00:00:00Z,8.1/10,30000000 USD
http://www.wikidata.org/entity/Q19363674,Love and Friendship,historical film,,,2016-05-13T00:00:00Z,96%,3000000 USD
http://www.wikidata.org/entity/Q27343,Warm Bodies,romantic comedy,,,,6.8/10,35000000 USD
http://www.wikidata.org/entity/Q29261993,Mission: Impossible – Fallout,adventure film,791657398,220159104,2018-07-27T00:00:00Z,97%,178000000 USD
http://www.wikidata.org/entity/Q221491,The Thin Red Line,drama film,98126565,36400491,1998-12-25T00:00:00Z,7.3/10,52000000 USD
http://www.wikidata.org/entity/Q209481,Eyes Wide Shut,mystery film,,,1999-07-16T00:00:00Z,7.5/10,65000000 USD
http://www.wikidata.org/entity/Q12131571,Villain,heist film,,,1971-05-26T00:00:00Z,67%,383786 GBP
http://www.wikidata.org/entity/Q107325,Bram Stoker's Dracula,historical drama,215862692,,,75%,
http://www.wikidata.org/entity/Q1340087,Skyline,action film,,,,3.7/10,10000000 USD
http://www.wikidata.org/entity/Q196685,Escape Plan,action film,,,,50%,50000000 USD
