title,release_year,genres,score,budget,revenue
Batman Begins,2005.0,"superhero film, ninja film, neo-noir, crime film, action film, adventure film, drama film, crime thriller",77.0,150000000.0,373672993.0
Batman Forever,1995.0,"neo-noir, action film, superhero film, fantasy film",39.0,100000000.0,336567158.0
Batman Returns,1992.0,"superhero film, fantasy film, neo-noir, science fiction film, thriller, action film, Christmas film",81.0,80000000.0,266915287.0
Battle of Britain,1969.0,"drama film, war film",67.0,14000000.0,13000000.0
Before Midnight,2013.0,"drama film, romance film",98.0,3000000.0,23245195.0
Before Sunrise,1995.0,"drama film, romance film",100.0,2500000.0,5987386.0
Before Sunset,2004.0,"romance film, drama film",83.0,2700000.0,15936507.0
Ben-Hur,1959.0,"Christmas film, film based on a novel, epic film, sword-and-sandal film, drama film, action film, adventure film",85.0,15000000.0,164000000.0
Beverly Hills Cop II,1987.0,"action film, buddy cop film, comedy film",52.0,20000000.0,299965036.0
Big,1988.0,"coming-of-age fiction, drama film, romantic comedy, fantasy film",97.0,18000000.0,151927281.0
Big Fat Liar,2002.0,comedy film,44.0,15000000.0,52970014.0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020.0,"superhero film, crime film, action film, adventure film",68.0,84500000.0,205372791.0
Black Adam,2022.0,"action film, adventure film, superhero film, fantasy film, science fiction film, speculative/fantastic fiction film",38.0,260000000.0,392952111.0
Black Hawk Down,2001.0,"drama film, historical film, action film, war film, film based on books",76.0,92000000.0,172989651.0
Black Panther,2018.0,"adventure film, action film, science fiction film, superhero film",83.0,200000000.0,1347597973.0
Black Panther: Wakanda Forever,2022.0,action film,71.0,250000000.0,859208836.0
Black Rain,1989.0,"drama film, action film, thriller film, buddy cop film, suspense, disaster film, horror film, science fiction film",50.0,30000000.0,134212055.0
Black Swan,2010.0,"thriller film, psychological thriller film, horror film, LGBT-related film, drama film, psychological horror",82.0,13000000.0,329398046.0
Black Widow,2021.0,"adventure film, action film, science fiction film, superhero film",69.0,200000000.0,379751655.0
Blade,1998.0,"neo-noir, fantasy film, science fiction film, horror film, thriller film, vampire film, action film",59.0,45000000.0,131211377.0
Blade Runner,1982.0,"thriller film, dystopian film, drama film, film noir, action film, tech noir, neo-noir, science fiction film, film based on a novel, cyberpunk",85.0,28000000.0,41722424.0
Blade Runner 2049,2017.0,"action film, drama film, dystopian film, neo-noir, science fiction film, thriller film, cyberpunk, mystery film",82.0,150000000.0,259239658.0
Blue Velvet,1986.0,"thriller film, mystery film, drama film, crime film, erotic thriller, neo-noir",95.0,6000000.0,8663268.0
Bowfinger,1999.0,comedy film,81.0,55000000.0,98625775.0
Brain Candy,1996.0,LGBT-related film,50.0,8000000.0,8000000.0
Braveheart,1995.0,"biographical film, war film, action film, drama film, medieval film",74.0,65000000.0,213200000.0
Breakfast at Tiffany's,1961.0,"film based on literature, comedy film, romantic comedy",74.0,2500000.0,14000000.0
Bride of Frankenstein,1935.0,"science fiction film, horror film, LGBT-related film",98.0,397000.0,2000000.0
Bridget Jones's Baby,2016.0,"melodrama, comedy film, romance film",63.0,35000000.0,211952420.0
Bringing Up Baby,1938.0,"romantic comedy, screwball comedy film",88.0,1100000.0,1259000.0
Broadcast News,1987.0,"drama film, romantic comedy, comedy drama",83.0,20000000.0,67331309.0
Bullet Train,2022.0,"thriller film, action comedy film, action film, film based on a novel",53.0,90000000.0,239246943.0
Bulworth,1998.0,"drama film, romantic comedy",76.0,30000000.0,29202884.0
Candyman,2021.0,"horror film, film based on literature, supernatural horror film",84.0,25000000.0,77411570.0
Captain America: Civil War,2016.0,superhero film,90.0,250000000.0,1153296293.0
Captain America: The First Avenger,2011.0,"action film, war film, science fiction film, superhero film, adventure film",70.0,140000000.0,370569774.0
Captain America: The Winter Soldier,2014.0,"action film, science fiction film, superhero film, adventure film",90.0,170000000.0,714421503.0
Captain Horatio Hornblower R.N.,1951.0,adventure film,100.0,2462000.0,5333000.0
Captain Marvel,2019.0,"science fiction film, superhero film, adventure film, action film",79.0,152000000.0,1128462972.0
Captain Phillips,2013.0,"drama film, action film, pirate film, biographical film, film based on books, survival film, thriller film",83.0,55000000.0,218791811.0
Captains of the Clouds,1942.0,"drama film, action film, war film",100.0,1770000.0,3428000.0
Casino,1995.0,"drama film, crime film, film based on books, heist film",72.0,50000000.0,116112375.0
Casino Royale,1967.0,"film based on a novel, parody film, spy film",47.0,12000000.0,41744718.0
Cast Away,2000.0,"adventure film, robinsonade, drama film",74.0,90000000.0,429632142.0
Catch Me If You Can,2002.0,"film based on books, biographical film, heist film, comedy film, drama film, crime film",79.0,52000000.0,352114312.0
Cats,2019.0,"drama film, musical film, comedy drama, fantasy film",39.0,95000000.0,17090175.0
Central Intelligence,2016.0,"comedy film, action film, buddy cop film",58.0,50000000.0,217000000.0
Changeling,2008.0,"mystery film, drama film, crime film",63.0,55000000.0,113398237.0
Chariots of Fire,1982.0,"sport film, drama film, historical film, biographical film",82.0,5500000.0,59303359.0
Charlie and the Chocolate Factory,2005.0,"film based on a novel, children's film, musical film, black comedy film, fantasy film",83.0,150000000.0,475000000.0
Children of Men,2007.0,"tech noir, science fiction film, film based on a novel, thriller film, post-apocalyptic film, dystopian film, drama film",81.0,76000000.0,70595464.0
Chinatown,1974.0,"film noir, neo-noir, mystery film, drama film, crime thriller",94.0,6000000.0,29225935.0
Chinjeolhan geumjassi,2006.0,"drama film, rape and revenge film",76.0,4500000.0,23834149.0
Cinderella,2015.0,"melodrama, fantasy film, romance film, family film, cinematic fairy tale, adventure film",72.0,95000000.0,542351353.0
Clerks II,2006.0,"comedy film, buddy film",61.0,5000000.0,26986174.0
Cliffhanger,1993.0,"action film, survival film, thriller film",62.0,70000000.0,255000211.0
Close Encounters of the Third Kind,1977.0,"speculative/fantastic fiction film, adventure film, drama film, science fiction film",90.0,20000000.0,306889114.0
Coherence,2014.0,"crime film, science fiction film, psychological thriller, thriller film",88.0,50000.0,139745.0
Coma,1978.0,"science fiction film, crime film, horror film, film based on a novel",81.0,4000000.0,50000000.0
Conan the Barbarian,1982.0,"film based on literature, adventure film, action film, fantasy film",64.0,20000000.0,68851475.0
Contact,1997.0,"drama film, science fiction film, film based on a novel",69.0,90000000.0,171120329.0
Cool Hand Luke,1967.0,"film based on a novel, prison film, drama film",100.0,3200000.0,16218161.0
Cop Land,1997.0,"drama film, crime film",76.0,15000000.0,63706632.0
Corpse Bride,2005.0,"romantic comedy, zombie film, musical film, fantasy film, stop-motion animated film",72.0,40000000.0,118133252.0
Crank,2006.0,"crime thriller, crime film, action film",60.0,12000000.0,42931041.0
Creed,2015.0,"boxing film, drama film",95.0,35000000.0,173578883.0
Creed II,2018.0,"boxing film, drama film",69.0,50000000.0,214215889.0
Crimson Peak,2015.0,"drama film, gothic film, ghost film, fantasy film, romance film",72.0,55000000.0,74679822.0
Crimson Tide,1995.0,"drama film, action film, war film, thriller film",88.0,53000000.0,157387195.0
DC League of Super-Pets,2022.0,"superhero film, comedy film, action comedy film",63.0,90000000.0,207357117.0
Dark Phoenix,2019.0,"science fiction film, superhero film, adventure film",46.0,200000000.0,244676878.0
