title,release_year,genres,score,budget,revenue
Young People Fucking,2008.0,"Comedy, Drama, Romance",57.0,1500000.0,5901645.8
Young Lady Chatterley,1977.0,"Comedy, Drama",51.0,132200000.0,249632395.4
Young Guns II,1990.0,"Western, Adventure",65.0,20000000.0,59000000.0
Young Guns,1988.0,"Crime, Action, Adventure, Drama, Western",66.0,13000000.0,44726644.0
Young Frankenstein,1974.0,"Comedy, Science Fiction",77.0,2800000.0,86273333.0
Young Adult,2011.0,"Comedy, Drama",56.0,12000000.0,22939027.0
Young Adam,2003.0,"Drama, Thriller, Crime, Romance",59.0,6400000.0,2500000.0
"You, Me and Dupree",2006.0,"Comedy, Romance",54.0,54000000.0,130431368.0
You've Got Mail,1998.0,"Comedy, Romance",63.0,65000000.0,250821495.0
You're Next,2013.0,"Horror, Thriller, Mystery",66.0,1000000.0,26887177.0
You Were Never Really Here,2018.0,"Thriller, Drama, Crime",66.0,40517129.0,10891281.0
You Should Have Left,2020.0,"Horror, Thriller",60.0,84600000.0,178745725.6
You People,2023.0,"Romance, Comedy",58.0,157600000.0,277948016.0
You Only Live Twice,1967.0,"Action, Thriller, Adventure",65.0,9500000.0,111584787.0
You Kill Me,2007.0,"Comedy, Crime, Thriller, Romance",62.0,4000000.0,2426851.0
You Got Served,2004.0,"Music, Drama",64.0,8000000.0,50811858.0
You Get Me,2017.0,"Thriller, Romance, Drama",56.0,120200000.0,335738990.2
You Don't Mess with the Zohan,2008.0,"Comedy, Action",55.0,90000000.0,201596308.0
You Can't Take It With You,1938.0,"Comedy, Romance",72.0,1644736.0,7433101.0
You Again,2010.0,"Comedy, Romance",60.0,20000000.0,32005248.0
Yossi,2012.0,"Drama, Romance",68.0,500000.0,116207.0
Yogi Bear,2010.0,"Comedy, Family, Animation, Adventure",52.0,80000000.0,201584141.0
Yesterday,2019.0,"Comedy, Fantasy, Music, Romance",67.0,26000000.0,88092097.0
"Yes, God, Yes",2020.0,Drama,64.0,80400000.0,411716817.2
Yes Man,2009.0,"Comedy, Romance",67.0,50000000.0,225990976.0
Yes Man,2008.0,Comedy,64.0,70000000.0,225990978.0
Yes Day,2021.0,"Comedy, Family",68.0,120400000.0,461753653.4
Yentl,1983.0,"Music, Drama, Romance",62.0,12000000.0,30400000.0
Yennai Arindhaal,2015.0,"Romance, Thriller, Drama, Action",66.0,7900000.0,16000000.0
Yeh Jawaani Hai Deewani,2013.0,Romance,71.0,8300000.0,46000000.0
Year of the Dragon,1985.0,"Action, Crime, Drama, Thriller",65.0,24000000.0,18707466.0
Year One,2009.0,"Comedy, Adventure",46.0,60000000.0,62357900.0
Y Tu Mamá También,2001.0,"Drama, Romance",73.0,5000000.0,33616692.0
Xanadu,1980.0,"Fantasy, Music, Romance",52.0,20000000.0,22471595.0
XOXO,2016.0,"Music, Drama",60.0,93600000.0,186333762.2
X2,2003.0,"Adventure, Action, Science Fiction, Thriller",68.0,110000000.0,407711549.0
X-Rated: The Greatest Adult Movies of All Time,2015.0,Documentary,63.0,90000000.0,433079565.6
X-Rated 2: The Greatest Adult Stars of All-Time,2016.0,Documentary,67.0,41500000.0,298690257.2
X-Men: The Mutant Watch,2001.0,Documentary,71.0,90100000.0,414551647.4
X-Men: The Last Stand,2006.0,"Adventure, Action, Science Fiction, Thriller",63.0,210000000.0,459359555.0
X-Men: First Class,2011.0,"Action, Science Fiction, Adventure",71.0,160000000.0,353624124.0
