,genres,ROI
0,drama,0.3837335624284146
1,drama,336.55297268907566
2,drama,500.58696
3,drama,262.8253618135377
4,drama,538.9116983682984
5,drama,-9.090909090909086
6,drama,100.00000000000003
7,drama,293.9486810526316
8,drama,-64.862728
9,drama,654.7322999999997
10,drama,314.3675164835166
11,drama,169.53247181818188
12,drama,-83.79659333333333
13,drama,402.199964032258
14,drama,422.7400666666666
15,drama,203.9647577092511
16,drama,-90.61839424955177
17,drama,-86.29370833333333
18,drama,216.4247601731602
19,drama,-90.5016
20,drama,-97.14307385648343
21,drama,115.87700000000001
22,drama,358.4920466666666
23,drama,11.504674999999983
24,drama,-75.0
25,drama,251.5847575757575
26,drama,818.2905138461539
27,drama,954.9450549450547
28,drama,378.34882847826094
29,drama,-92.85745
30,drama,-69.06976744186046
31,drama,-84.67183384204844
32,drama,-36.965120000000006
33,drama,-95.0
34,drama,274.02877
35,drama,415.315941728763
36,drama,-28.692448979591834
37,drama,-74.991925
38,drama,2185.1593353792746
39,drama,97.43333333333332
40,drama,32.85523333333333
41,drama,-91.66666666666666
42,drama,46.962950000000006
43,drama,145.97008419452888
44,drama,6.396827218587832
45,drama,1144.02925
46,drama,-83.49151875000001
47,drama,-99.2977521053768
48,drama,-96.3465125
49,drama,442.55319148936155
50,drama,1184.0064200000002
51,drama,403.9879666666666
52,drama,-22.923933333333316
53,drama,-78.7201388888889
54,drama,466.6666666666668
55,drama,247.92692666666665
56,drama,248.8048781496063
57,drama,139.91023076923076
58,drama,-97.75203728362185
59,drama,1526.1671749999994
60,drama,50.544639999999994
61,drama,93.97173000000002
62,drama,178.95190230769228
63,drama,1665.1447800000003
64,drama,338.2011894736841
65,drama,4226.340399999999
66,drama,250.5769599999999
67,drama,5.913400511315801
68,drama,-32.71810624999999
69,drama,156.111
70,drama,450.8940990243902
71,drama,136.73009999999988
72,drama,-52.32833333333333
73,drama,147.74414285714286
74,drama,-88.52591394302382
75,drama,-87.30227586206895
76,drama,-20.680172000000002
77,drama,15.221183333333322
78,drama,129.46040000000002
79,drama,15.630899999999992
80,drama,-97.982375
81,drama,117.2387215384615
82,drama,-96.33995
83,drama,10833.590799999998
84,drama,219.04958333333323
85,drama,-99.34887054615491
86,drama,127.20804080536914
87,drama,-67.75160706498036
88,drama,113.22021666666669
89,drama,53.23050800000002
90,drama,145.29756666666668
91,drama,271.96734000000004
92,drama,58.393889999999985
93,drama,-35.24045230769231
94,drama,-59.720000000000006
95,drama,-68.25663214285713
96,drama,-88.4186448
97,drama,-62.5782111111111
98,drama,540.0
99,drama,437.6035199999998
100,drama,-79.16666666666666
101,drama,129.35323383084577
102,drama,115.31590823529407
103,drama,-71.70539557666616
104,drama,-98.37650434782608
105,drama,-39.64285714285714
106,drama,238.26092
107,drama,904.4642857142858
108,drama,79.89056
109,drama,226.3580190562613
110,drama,563.3625967599409
111,drama,252.87800000000001
112,drama,13.428293999999982
113,drama,-83.33333333333334
114,drama,0.07323704430809647
115,drama,295.9295533333332
116,drama,128.33333333333337
117,drama,-40.00000000000001
118,drama,326.64478749999995
119,drama,95.20208
